"Full Name","Acronym","Division","Team Color","","List of Divisions","","Full Schedule","","Away ","Home ","","","","","Number of  Teams","","YEAR","","","","","","","","","","","","","","","","","","","","","","P1","P2","P3","P4","P5","E1","E2","E3","E4","E5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 13","GAME 1","POPEYES","KINGS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WEEK 13","P2","P1","POPEYES","KINGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 13","GAME 2","SAVAGES","DECOUPES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P5","P3","SAVAGES","DECOUPES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 13","GAME 3","MUTTS","GREEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E3","P4","MUTTS","GREEN","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 13","GAME 4","YARDIES","EAGLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E1","E2","YARDIES","EAGLES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 13","GAME 5","METAMOOKDAWGS","CHAMPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E4","E5","METAMOOKDAWGS","CHAMPS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 14","GAME 1","GREEN","KINGS","","","","","","","","","","","","","","","","","WEEK 5","","","","","","","","","","","","","","","","","","","","","","","WEEK 14","P4","P1","GREEN","KINGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 14","GAME 2","POPEYES","DECOUPES","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","P2","P3","POPEYES","DECOUPES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 14","GAME 3","CHAMPS","SAVAGES","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","E5","P5","CHAMPS","SAVAGES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 14","GAME 4","YARDIES","MUTTS","","","","","","","","","","","","","","","","","P1","P2","P3","P5","E1","E2","E4","E5","P4","E3","","","","","","","","","","","","","","","E1","E3","YARDIES","MUTTS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 14","GAME 5","METAMOOKDAWGS","EAGLES","","","","","","","","","","","","","","","","","WEEK 6","","","","","","","","","","","","","","","","","","","","","","","","E4","E2","METAMOOKDAWGS","EAGLES","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","P3","P4","P5","E1","E4","E3","E5","E2","P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","WEEK 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","P4","P2","P3","E1","E3","E2","E4","P5","E5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","WEEK 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","P5","P2","P4","E1","E5","E2","E3","P3","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","WEEK 9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","P2","P5","P3","P4","E2","E5","E3","E4","P1","E1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
